index,phase,experiment_name,run_id,dataset_name,model_name,split,question,gold_answer,prediction,gold_normalized,prediction_normalized,exact_match,numeric_match,human_or_machine,error
128,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many TV households were in the Middle East and Africa in 2012?,65,65,65,65,1,1,1,
129,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,When is the forecasted year with the highest consumption volume?,2020,2027,2020,2027,0,0,1,
130,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many times green bar greater than Agriculture bar?,8.53,1.38,853,138,0,0,0,
131,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,In what year was the app sensor market forecast to be worth 5.6 billion U.S. dollars?,2017,2017,2017,2017,1,1,1,
132,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the percentage of rheumatologists in the U.S. who either worked at a Hospital  or an Office-based solo practice as of 2019?,27,15,27,15,0,0,0,
133,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much did the U.S. export aerospace products worth in dollars in 2019?,137.73,137.73,13773,13773,1,1,1,
134,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which country has 0.3 difference when compared with Poland?,Austria,Cyprus,austria,cyprus,0,0,0,
135,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many retail stores did Herm s operate in 2020?,306,306,306,306,1,1,1,
136,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"In the pie chart, what blue color denotes ?",Gucci,Gucci,gucci,gucci,1,0,0,
137,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the value of end-user payments for NC software in 2013?,1.64,1.64,164,164,1,1,1,
138,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the number of pharmacists employed in the health sector in Belgium in 2018?,14280,11111,14280,11111,0,0,1,
139,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the percentage of rheumatologists in the U.S. who worked at a Hospital as of 2019?,15,15,15,15,1,1,0,
140,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much did the national media take in the 2013/14 season?,560,70,560,70,0,0,1,
141,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many adult intensive care units were in Mexico City in April 2020?,891,891,891,891,1,1,1,
142,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many support Euro in Spain?,0.71,25,071,25,0,0,0,
143,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the percentage value of purchases by people from 16-24 years old?,17,17,17,17,1,1,0,
144,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many countries are represented on the graph?,2,4,2,4,0,0,0,
145,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"What percentage we get , if we add red and grey color?",27,0.6,27,06,0,0,0,
146,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the difference in the value of highest percentage value given in the chart and the percentage points where two lines cross?,0.3,79,03,79,0,0,0,
147,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the percentage of revenue contributes by people under 44?,40.3,32.3,403,323,0,0,0,
148,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the population of the Dominican Republic in 2018?,10.63,10.63,1063,1063,1,1,1,
149,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What did 92 percent of the top 400 charities and NPOs use for their organization?,Facebook,Facebook,facebook,facebook,1,0,1,
150,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,In which year was the employment between Agriculture and Industry the least?,2020,2010,2020,2010,0,0,0,
151,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many men were admitted to hospital as a result of a road traffic accident in Scotland in 2019/20?,613,279,613,279,0,0,1,
152,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was China's share in global gross domestic product in 2020?,18.34,19.84,1834,1984,0,0,1,
153,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"In year 2021, what is the highest percentage value shown?",95,83,95,83,0,0,0,
154,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the unemployment rate in 1990?,5.6,9.7,56,97,0,0,1,
155,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much money did corporations make in the fourth quarter of 2020?,2294.3,1740.5,22943,17405,0,0,1,
156,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which year recorded the highest fertility rate in Indonesia?,1976,1998,1976,1998,0,0,0,
157,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many direct operated stores did Tod's Group control in 2019?,137,137,137,137,1,1,1,
158,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the the differencebetween GBP in 2014?,20,45,20,45,0,0,0,
159,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the government revenue in France in 2019?,1275.06,122.4,127506,1224,0,0,1,
160,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which tour operators in Europe had highest revenue in 2014?,TUI,TUI,tui,tui,1,0,0,
161,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which year has the highest number of fatalities?,2006,2014,2006,2014,0,0,0,
162,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much value did the mining industry add to Minnesota's GDP in 2012?,4.06,4.06,406,406,1,1,1,
163,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the average percentage of art buyers who bought art online from 2018 to 2019?,43.5,56.5,435,565,0,0,0,
164,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,what is the sum total of usage of internet every day and  often/sometime among individual in the year 2013 ?,73,15,73,15,0,0,0,
165,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the difference between the highest and the lowest respondents who were satisfied with their sex life in the  United Kingdom (UK) in 2017 for male?,17,26,17,26,0,0,0,
166,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which date the line chart have vertical rise?,Mar 31 '20,Mar 31 '20,mar 31 '20,mar 31 '20,1,1,0,
167,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"How many people applied for universal credit in the two weeks prior to March 31, 2020?",950000,95000,950000,95000,0,0,1,
168,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which country shows highest rise in the Short term interest rates from 1995 to 2000?,Brazil,Brazil,brazil,brazil,1,0,0,
169,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many carvedilol prescriptions were there in 2018?,22.78,22.74,2278,2274,0,0,1,
170,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much did Puma's footwear sales exceed in 2018?,45.2,45.2,452,452,1,1,1,
171,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What year was Bridgestone's fiscal year for research and development?,2009,2009,2009,2009,1,1,1,
172,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which country is represented by blue color line?,Korea,Korea,korea,korea,1,0,0,
173,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which colored bars trump other bars for all years,navy blue,blue,navy blue,blue,0,0,0,
174,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How much did the French sporting goods sector lose in 2015?,82,82,82,82,1,1,1,
175,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What percentage of potash reserves did Canada have in 2019?,27.8,27.8,278,278,1,1,1,
176,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many years have the same emission rate of 25%?,3,2,3,2,0,0,0,
177,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the ratio of No change to not sure?,1.6,32,16,32,0,0,0,
178,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Is the difference of value of Austria and Ireland bar is greater then the value of United States bar?,No,Yes,no,yes,0,0,0,
179,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the prevalence of asthma in Spain in 2015?,1.58,1.58,158,158,1,1,1,
180,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many daily active users did Douyin have in comparison to the period prior to the epidemic?,81.92,81.92,8192,8192,1,1,1,
181,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"As of March 2020, how many enterprises had a turnover of more than 5 million British pounds?",15,230,15,230,0,0,1,
182,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"In which year, the value of Employment in the agriculture graph peaked?",1999,1991,1999,1991,0,0,0,
183,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the value when the tallest bar is divided by the shortest bar?,14.33,43,1433,43,0,0,0,
184,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the U.S. notebook market penetration in 2010?,63,63,63,63,1,1,1,
185,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is Spain's health grade?,92.75,92.75,9275,9275,1,1,1,
186,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What percentage is shown by navy blue bar?,50,50,50,50,1,1,0,
187,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What percentage of total mobile service revenue did mobile data account for in the UK in 2015?,27.6,27.6,276,276,1,1,1,
188,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the add up value of Australia and France?,40.6,1.6,406,16,0,0,0,
189,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many people died in the American Civil War?,620000,620000,620000,620000,1,1,1,
190,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which year has a value of above 20000?,2028,2028,2028,2028,1,1,0,
191,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many Kuwaiti dinars will domestic travel expenditure in Kuwait be by 2028?,3237.9,3237.9,32379,32379,1,1,1,
192,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What was the average passenger revenue per passenger-mile in 2018?,40.7,40.7,407,407,1,1,1,
193,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,Which year it is in peak?,2006,2002,2006,2002,0,0,0,
194,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"As of March 2020, how many enterprises had between 50 and 99 employees?",10,10,10,10,1,1,1,
195,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,How many respondents are not sure?,29,6,29,6,0,0,0,
196,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What's the percentage market share of NEXANS for offshore wind farms in Europe in 2020?,27,27,27,27,1,1,0,
197,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,"What's the percentage of men who have ""Should NOT be made legal"" opinions?",30,68,30,68,0,0,0,
198,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What is the difference of largest and smallest bar?,409.13,3726000,40913,3726000,0,0,0,
199,phase1,pix2struct_chartqa_finetuned_baseline,20260624_144753,HuggingFaceM4/ChartQA,google/pix2struct-chartqa-base,val,What percentage of Malaysia's exports came from Singapore in 2019?,13,13,13,13,1,1,1,
